序号,年,月,日,新总面积,新住宅数,新住宅面积,旧总面积,旧住宅数,旧住宅面积,,,
0,2022,10,16,5268.16,2,216.12,,,,,,
1,2022,10,15,7369.87,15,1503.99,6941.8,62,6066,,,
2,2022,10,14,103980.87,540,68232.46,70811.45,696,64555.43,,,
3,2022,10,13,95786.07,500,65368.87,70714.56,663,64467.87,,,
4,2022,10,12,91852.08,503,63655.04,67488.74,627,58866.75,,,
5,2022,10,11,97314.94,446,57288.53,62456.21,599,56378.87,,,
6,2022,10,10,88763.01,399,53189.76,62518.04,600,57208.25,,,
7,2022,10,9,120428.81,466,62096.7,69154.91,632,59438.95,,,
8,2022,10,8,70047.6,387,52439.67,70158.34,651,62873.82,,,
9,2022,10,7,2844.66,0,0,,,,,,
10,2022,10,5,3453.69,0,0,,,,,,
11,2022,10,4,26200.9,0,0,,,,,,
12,2022,10,3,4412.06,6,633.94,,,,,,
13,2022,10,2,1738.06,2,255.25,,,,,,
14,2022,10,1,12685.45,41,7950.03,,,,,,
15,2022,9,30,77988.18,453,52931.79,52316.3,471,47205.48,,,
16,2022,9,29,86544.59,399,59015.12,57920.65,536,52287.37,,,
17,2022,9,28,115974.02,662,89642.63,64829.99,632,58160.88,,,
18,2022,9,27,88578.25,454,59546.31,73438.71,663,62892.66,,,
19,2022,9,26,113994.47,633,86226.17,81505.12,789,74599.93,,,
20,2022,9,25,7266.75,6,708.92,,,,,,
21,2022,9,24,17916.34,23,2737.48,10998.3,95,9764.91,,,
22,2022,9,23,85219.05,448,61764.13,72832.74,680,66633.72,,,
23,2022,9,22,89502.72,445,57788.45,52263.79,500,48779.64,,,
24,2022,9,21,86536.01,497,64726.36,67798,625,59851.44,,,
25,2022,9,20,85330.04,422,55746.21,57724.57,523,51897.59,,,
26,2022,9,19,68763.09,338,46498.24,51056.4,479,45907.97,,,
27,2022,9,18,3237.83,5,511.92,,,,,,
28,2022,9,17,87169.53,549,75344.12,38683.71,386,36647.18,,,
29,2022,9,16,87169.53,549,75344.12,38683.71,386,36647.18,,,
30,2022,9,15,44123.86,269,36965.92,16964.84,166,16091.39,,,
31,2022,9,14,19367.78,87,10628.01,13764.54,131,13309.4,,,
32,2022,9,13,16972.38,94,10682.55,12491.09,123,11630.58,,,
33,2022,9,11,1128.22,4,433.3,,,,,,
34,2022,9,10,1726.83,4,476.36,,,,,,
35,2022,9,9,7527.44,63,6480.83,2633.79,29,2592.23,,,
36,2022,9,8,2133.89,14,1538.47,1869.87,18,1809.65,,,
37,2022,9,7,4279.15,28,3980.95,1912.32,16,1796.99,,,
38,2022,9,6,1637.04,9,1197.43,1755.52,19,1723.96,,,
39,2022,9,5,627.62,4,437.48,2648.03,23,2585.27,,,
40,2022,9,4,2731.92,17,2236.48,,,,,,
41,2022,9,3,5335.22,3,265.44,,,,,,
42,2022,9,2,12942.6,10,1151.34,2228.98,22,2199.37,,,
43,2022,9,1,37286.32,238,28254.4,43705.98,480433,40081.17,,,
44,2022,8,31,111890.12,711,89294.53,49723.12,480,46285.26,,,
45,2022,8,30,104154.21,619,81359.62,54690.63,480,47560.01,,,
46,2022,8,29,125690.98,764,105069.13,70585.28,678,63934.66,,,
47,2022,8,28,22655.31,147,18594.34,,,,,,
48,2022,8,27,41423.59,10,1111.58,9428.4,85,8633.53,,,
49,2022,8,26,93390.94,556,74633.5,67503.94,625,60229.65,,,
50,2022,8,25,74479.11,452,58771.81,68761.04,624,60673.04,,,
51,2022,8,24,85164.67,472,59323.91,73430.24,687,66647.82,,,
52,2022,8,23,155067.83,843,111142.82,66002.01,665,59949.37,,,
53,2022,8,22,75058.74,437,55878.56,76017.72,762,69850.08,,,
54,2022,8,20,6918.52,5,575.87,7395.38,69,6695.68,,,
55,2022,8,19,70815.59,389,52969.048,65863.71,630,59535.42,,,
56,2022,8,18,98077.18,468,58128.68,70872.99,655,62087.37,,,
57,2022,8,17,98077.18,636,81056.21,74345.11,685,64879.44,,,
58,2022,8,16,58165.42,321,37376.47,66502.46,616,58625.31,,,
59,2022,8,15,97718.21,483,63567.66,87416.85,855,79847.63,,,
60,2022,8,14,7719.23,,,,,,,,
61,2022,8,13,6896.63,6,619.06,9651.46,96,8938.88,,,
62,2022,8,12,99865.18,552,72232.07,70291.16,675,63988.6,,,
63,2022,8,11,104286.3,545,69083.76,74137.42,685,65853.57,,,
64,2022,8,10,73717.36,391,51909.11,64113.37,606,59952.46,,,
65,2022,8,9,78216.67,380,46936.52,69763.88,671,63828.3,,,
66,2022,8,8,86752.68,427,58255.19,80221.77,758,72832.05,,,
67,2022,8,6,2724.28,4,424.95,6718.07,63,6181.86,,,
68,2022,8,5,106360.17,631,81867.2,58346.76,589,53008.61,,,
69,2022,8,4,134804.09,628,80959.91,61255.02,529,56069.79,,,
70,2022,8,3,160321.21,980,129721.22,61279.86,561,55705.07,,,
71,2022,8,2,95084.18,507,64524.55,74120.3559149.86,576,55213.42,,,
72,2022,8,1,66849.81,371,47147.11,74120.35,717,68338.51,,,
73,2022,7,31,17256.54,128,12579.14,498.18,4,498.18,,,
74,2022,7,30,7328.9,17,1877.01,8345.38,87,7815.87,,,
75,2022,7,29,135884.94,972,123886.6,64874.22,619,59633.99,,,
